Month,Avg_Wait,Pct_Delayed,Avg_LOS,Total_Patients
2024-06,156.3383647798742,41.76,4.846540880503144,795
2024-07,151.03370786516854,40.43,5.342696629213483,4272
2024-08,152.39126328217236,40.47,5.315230224321134,4235
2024-09,152.14443897637796,40.43,5.58636811023622,4064
2024-10,149.72695285010556,38.99,5.231057940417546,4263
2024-11,152.24969219404088,40.43,5.33021423294755,4061
2024-12,151.31630510846745,39.93,5.4877536738978305,4287
2025-01,152.32050979466604,40.31,5.393438753835261,4237
2025-02,149.5261522527188,38.68,5.3972035214914555,3862
2025-03,153.19190946303877,41.27,5.345292559595473,4153
2025-04,151.9796219003192,40.19,5.352811195678861,4073
2025-05,154.57327080890974,41.45,5.38147713950762,4265
2025-06,150.87574528976867,39.97,5.386119723348438,4193
2025-07,152.68889925373134,41.11,5.306436567164179,4288
2025-08,149.59472308058,38.91,5.29712384121702,4207
2025-09,153.78172959805116,40.68,5.402192448233861,4105
2025-10,151.724607084213,40.68,5.2366877785597,4263
2025-11,153.50496488253813,40.76,5.367643497214822,4129
2025-12,151.096,39.6,5.363764705882353,4250
2026-01,154.56413330136658,41.31,5.4852553344521695,4171
2026-02,151.1381818181818,39.95,5.382077922077922,3850
2026-03,153.60824982521558,41.37,5.40689815893731,4291
2026-04,150.1728334956183,39.53,5.31207400194742,4108
2026-05,151.53212711667825,40.04,5.277661795407098,4311
2026-06,153.4248546066728,40.89,5.284664830119375,3267
